respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.3,0.2
26708,0.1,0.1
26709,0.8,0.8
26710,0.9,0.9
26711,0.5,0.4
26712,0.8,1.0
26713,0.7,0.7
26714,0.3,0.1
26715,0.1,0.1
26716,0.4,0.9
26717,0.1,0.5
26718,0.5,0.5
26719,0.2,0.9
26720,0.2,0.2
26721,0.7,0.6
26722,0.1,0.1
26723,0.8,0.9
26724,0.1,0.8
26725,0.1,0.1
26726,0.1,0.1
26727,0.6,0.9
26728,0.5,0.5
26729,0.2,0.3
26730,0.2,0.2
26731,0.1,0.2
26732,0.2,0.1
26733,1.0,1.0
26734,0.9,0.5
26735,0.3,0.4
26736,0.2,0.2
26737,0.1,0.1
26738,0.9,0.8
26739,0.2,0.2
26740,0.3,0.2
26741,0.4,0.9
26742,0.2,0.4
26743,0.1,0.4
26744,0.2,0.8
26745,0.2,0.8
26746,0.5,0.6
26747,0.3,0.2
26748,0.3,0.1
26749,0.2,0.7
26750,0.9,0.9
26751,0.6,0.8
26752,0.1,0.1
26753,0.4,0.6
26754,0.3,0.5
26755,0.2,0.5
26756,0.1,0.0
26757,0.7,0.7
26758,0.8,0.8
26759,0.1,0.2
26760,0.1,0.1
26761,0.6,0.7
26762,0.3,0.8
26763,0.9,0.9
26764,1.0,1.0
26765,0.2,0.8
26766,0.3,0.2
26767,0.9,0.7
26768,0.1,0.5
26769,0.3,0.2
26770,0.3,0.6
26771,0.1,0.2
26772,0.2,0.5
26773,0.1,0.2
26774,0.1,0.5
26775,0.2,0.5
26776,0.7,0.5
26777,0.2,0.9
26778,0.3,0.1
26779,0.3,0.6
26780,0.4,0.9
26781,0.2,0.4
26782,0.1,0.3
26783,0.2,0.3
26784,0.4,0.8
26785,0.8,0.8
26786,0.3,0.3
26787,0.2,0.6
26788,0.2,0.9
26789,0.0,0.2
26790,0.2,0.2
26791,0.2,0.2
26792,0.4,0.8
26793,0.2,0.9
26794,0.9,0.9
26795,0.2,0.9
26796,0.1,0.1
26797,0.3,0.6
26798,0.5,0.3
26799,0.6,0.6
26800,0.1,0.9
26801,0.3,0.2
26802,0.2,0.2
26803,0.2,0.2
26804,0.1,0.1
26805,0.2,0.2
26806,0.2,0.9
26807,0.8,0.9
26808,0.3,0.4
26809,0.8,0.2
26810,0.2,0.2
26811,0.1,0.1
26812,0.3,0.9
26813,0.6,0.4
26814,0.1,0.7
26815,0.1,0.1
26816,0.2,0.2
26817,0.2,0.6
26818,0.3,0.3
26819,0.5,0.2
26820,0.3,0.2
26821,0.3,0.7
26822,0.5,0.8
26823,0.3,0.4
26824,0.1,0.7
26825,0.6,0.7
26826,0.3,0.8
26827,0.2,0.2
26828,0.2,0.5
26829,0.8,0.9
26830,0.1,0.8
26831,0.5,0.9
26832,0.2,0.9
26833,0.1,0.6
26834,0.4,0.5
26835,0.8,0.9
26836,0.3,0.6
26837,0.2,0.1
26838,0.2,0.5
26839,0.2,0.5
26840,0.2,0.1
26841,0.8,0.8
26842,0.1,0.2
26843,0.2,0.1
26844,0.1,0.5
26845,0.2,0.8
26846,0.2,0.9
26847,0.6,0.2
26848,0.1,0.8
26849,0.5,0.6
26850,0.8,0.6
26851,0.1,0.1
26852,0.1,0.1
26853,0.7,0.5
26854,0.0,0.1
26855,0.8,0.9
26856,0.3,0.0
26857,0.7,0.2
26858,0.3,0.6
26859,0.2,0.2
26860,0.3,0.2
26861,0.2,0.1
26862,0.2,0.3
26863,0.4,0.6
26864,0.8,0.4
26865,0.1,0.1
26866,0.3,0.7
26867,0.2,0.2
26868,0.9,0.9
26869,0.2,0.2
26870,0.8,0.9
26871,0.1,0.1
26872,0.2,0.4
26873,0.3,0.8
26874,0.2,0.2
26875,0.8,0.9
26876,0.1,0.1
26877,0.2,0.1
26878,0.4,0.3
26879,0.1,0.1
26880,0.3,0.2
26881,0.1,0.1
26882,0.1,0.1
26883,0.2,0.2
26884,0.3,0.2
26885,0.6,0.8
26886,0.4,0.9
26887,0.8,0.9
26888,1.0,1.0
26889,0.1,0.1
26890,0.4,0.4
26891,0.8,0.8
26892,0.3,0.8
26893,0.1,0.1
26894,0.3,0.2
26895,0.2,0.9
26896,0.2,0.1
26897,0.1,0.5
26898,0.4,0.6
26899,0.2,0.1
26900,0.2,0.2
26901,0.1,0.4
26902,0.5,0.9
26903,0.3,0.2
26904,0.2,0.4
26905,0.7,0.9
26906,0.1,0.3
26907,0.0,0.6
26908,0.2,0.8
26909,0.2,0.2
26910,0.4,0.4
26911,0.1,0.1
26912,0.7,0.9
26913,0.9,0.8
26914,0.2,0.2
26915,0.4,0.7
26916,0.2,0.4
26917,0.1,0.1
26918,0.9,1.0
26919,0.3,0.5
26920,0.1,0.1
26921,0.1,0.9
26922,0.1,0.8
26923,0.4,0.6
26924,0.9,1.0
26925,0.3,0.8
26926,0.6,0.6
26927,0.6,0.6
26928,0.2,0.6
26929,0.2,0.2
26930,0.9,0.8
26931,0.4,0.4
26932,0.1,0.9
26933,0.1,0.6
26934,0.7,0.7
26935,0.4,0.5
26936,0.6,0.2
26937,0.7,0.8
26938,0.2,0.1
26939,0.1,0.1
26940,0.2,0.2
26941,0.2,0.5
26942,0.7,0.7
26943,0.4,0.7
26944,0.2,0.2
26945,0.3,0.7
26946,0.3,0.8
26947,0.5,0.7
26948,0.1,0.1
26949,0.1,0.1
26950,0.1,0.5
26951,0.2,0.3
26952,0.9,0.9
26953,0.9,0.9
26954,0.1,0.1
26955,0.4,0.7
26956,0.3,0.3
26957,0.1,0.9
26958,0.2,0.8
26959,0.2,0.2
26960,0.1,0.1
26961,0.5,0.5
26962,0.3,0.9
26963,0.4,0.3
26964,0.3,0.3
26965,0.9,0.9
26966,0.1,0.1
26967,0.1,0.3
26968,0.1,0.9
26969,0.1,0.2
26970,0.8,0.5
26971,0.2,0.2
26972,0.0,0.0
26973,0.1,0.1
26974,0.3,0.3
26975,0.2,0.7
26976,1.0,0.6
26977,0.2,0.4
26978,0.1,0.8
26979,0.8,0.9
26980,0.1,0.1
26981,0.2,0.4
26982,0.9,0.9
26983,0.4,0.6
26984,0.2,0.2
26985,0.1,0.1
26986,0.2,0.3
26987,0.2,0.2
26988,0.1,0.1
26989,0.6,0.8
26990,0.0,0.1
26991,0.5,0.5
26992,0.6,0.5
26993,0.3,0.9
26994,0.1,0.3
26995,0.1,0.3
26996,0.5,0.4
26997,0.1,0.1
26998,0.2,0.1
26999,0.5,0.6
27000,0.2,0.4
27001,0.2,0.9
27002,0.0,0.4
27003,0.0,0.0
27004,0.4,0.3
27005,0.8,0.9
27006,0.9,0.9
27007,0.1,0.1
27008,0.2,0.1
27009,0.2,0.2
27010,0.2,0.2
27011,0.3,0.1
27012,0.4,0.6
27013,0.3,0.4
27014,0.1,0.3
27015,0.2,0.2
27016,0.3,0.4
27017,0.7,0.8
27018,0.1,0.2
27019,0.9,1.0
27020,0.4,0.2
27021,0.2,0.7
27022,0.4,0.3
27023,0.3,0.2
27024,0.3,0.4
27025,0.4,0.1
27026,0.2,0.5
27027,0.3,0.9
27028,0.7,0.9
27029,0.1,0.3
27030,0.3,0.1
27031,0.5,0.9
27032,0.5,0.7
27033,0.6,0.8
27034,0.1,0.6
27035,0.3,0.3
27036,0.4,0.8
27037,0.7,0.7
27038,0.1,0.1
27039,0.9,0.9
27040,0.5,0.4
27041,0.3,0.7
27042,0.2,0.6
27043,0.6,0.7
27044,0.1,0.1
27045,0.4,0.7
27046,0.2,0.2
27047,0.8,0.6
27048,0.4,0.5
27049,0.6,0.9
27050,0.1,0.6
27051,0.0,0.2
27052,0.1,0.2
27053,1.0,1.0
27054,0.1,0.1
27055,0.2,0.9
27056,0.1,0.1
27057,0.1,0.0
27058,0.9,0.9
27059,0.1,0.1
27060,0.0,0.3
27061,0.2,0.6
27062,0.2,0.6
27063,0.2,0.6
27064,0.5,0.6
27065,0.2,0.5
27066,0.1,0.4
27067,0.8,0.8
27068,0.9,0.9
27069,0.9,0.9
27070,0.1,0.1
27071,0.3,0.1
27072,0.2,0.6
27073,0.1,0.9
27074,0.1,0.3
27075,0.9,0.9
27076,0.8,0.7
27077,0.1,0.1
27078,0.5,0.9
27079,0.5,0.9
27080,0.2,0.2
27081,0.1,0.8
27082,0.4,0.3
27083,0.2,0.3
27084,0.9,0.8
27085,0.1,0.1
27086,0.1,0.1
27087,0.4,0.3
27088,0.5,0.7
27089,0.4,0.2
27090,0.6,0.7
27091,0.7,0.4
27092,0.3,0.2
27093,0.4,0.3
27094,0.0,0.1
27095,0.3,0.6
27096,0.1,0.1
27097,0.8,0.7
27098,0.8,0.8
27099,0.4,0.5
27100,0.3,0.8
27101,0.3,0.6
27102,0.2,0.8
27103,0.0,0.1
27104,0.5,0.5
27105,0.2,0.5
27106,0.9,0.9
27107,0.6,0.7
27108,0.5,0.3
27109,0.3,0.1
27110,0.3,0.5
27111,0.1,0.3
27112,0.5,0.6
27113,0.2,0.1
27114,0.2,0.2
27115,0.7,0.8
27116,0.3,0.9
27117,0.1,0.1
27118,0.5,0.6
27119,0.2,0.2
27120,0.4,1.0
27121,0.0,0.8
27122,0.1,0.3
27123,0.1,0.2
27124,0.2,0.2
27125,0.1,0.1
27126,0.4,0.1
27127,0.2,0.2
27128,0.3,0.5
27129,0.5,0.6
27130,0.3,0.3
27131,0.1,0.1
27132,0.7,0.9
27133,0.2,0.5
27134,0.9,1.0
27135,0.2,0.5
27136,0.2,0.6
27137,0.1,0.2
27138,0.4,0.6
27139,0.3,0.2
27140,1.0,1.0
27141,0.8,0.8
27142,0.2,0.2
27143,0.5,0.4
27144,0.2,0.1
27145,0.8,0.7
27146,0.2,0.9
27147,0.1,0.3
27148,0.3,0.1
27149,0.4,0.1
27150,0.7,0.9
27151,0.4,0.8
27152,0.0,0.2
27153,0.5,0.8
27154,0.7,0.9
27155,0.4,0.7
27156,0.0,0.3
27157,0.0,0.6
27158,0.2,0.4
27159,0.1,0.2
27160,0.5,0.3
27161,0.6,0.6
27162,0.3,0.9
27163,0.8,0.6
27164,0.5,0.2
27165,0.7,0.7
27166,0.3,0.2
27167,0.2,0.6
27168,0.4,0.7
27169,0.8,0.7
27170,0.7,0.9
27171,0.2,0.3
27172,0.1,0.9
27173,0.5,0.5
27174,0.2,0.1
27175,0.2,0.1
27176,0.9,0.9
27177,0.9,0.9
27178,0.3,0.3
27179,0.2,0.2
27180,0.6,0.4
27181,0.1,0.9
27182,0.8,0.8
27183,0.1,0.7
27184,0.1,0.4
27185,0.7,0.8
27186,0.4,0.8
27187,0.2,0.1
27188,0.2,0.4
27189,0.2,0.7
27190,0.7,0.9
27191,0.3,0.9
27192,0.7,0.9
27193,0.0,0.1
27194,0.3,0.4
27195,0.1,0.2
27196,0.6,0.3
27197,0.2,0.6
27198,0.9,1.0
27199,0.1,0.3
27200,0.5,0.8
27201,0.8,0.9
27202,0.1,0.2
27203,0.1,0.1
27204,0.1,0.1
27205,0.2,0.2
27206,0.2,0.3
27207,0.3,0.2
27208,0.9,0.7
27209,0.4,0.4
27210,0.6,0.4
27211,0.3,0.3
27212,0.8,0.9
27213,0.7,0.6
27214,0.1,0.1
27215,0.4,0.7
27216,0.2,0.9
27217,0.3,0.3
27218,0.7,0.9
27219,0.8,0.7
27220,0.4,0.4
